GEO.id2,HC01_VC03,HC01_VC27,HC01_VC74,HC01_VC85,HC01_VC86
Id2,Estimate; EMPLOYMENT STATUS - Population 16 years and over,Estimate; COMMUTING TO WORK - Workers 16 years and over,Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households,Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars),Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Mean household income (dollars)
2771,12412,8118,5886,86014,105352
2777,13575,8706,6223,81469,90227
2779,5271,3678,2388,89597,105298
2780,40237,24196,19934,53201,69475
2790,13334,7663,6239,80569,95268
2791,247,52,153,74009,82669
2802,683,460,324,51582,78751
2804,1795,1227,911,92961,89075
2806,12380,7947,6075,117408,158751
2807,777,508,443,76174,82335
2808,2002,1323,860,76848,82397
2809,19526,10712,8489,65890,84844
2812,1023,745,418,123047,129228
2813,6724,3957,3271,72648,86520
2814,6211,4015,2750,93468,95908
2815,155,122,87,214205,174783
2816,26995,17036,13152,67115,84141
2817,4859,3240,2178,102616,109445
2818,14691,9153,7567,97800,138103
2822,5428,3140,2442,80893,103278
2825,4728,3075,2081,79870,99041
2826,610,392,357,70760,78161
2827,1804,1193,808,87500,94684
2828,6552,3703,3002,79103,100319
2830,4475,2860,2203,67589,89085
2831,2612,1530,1170,91346,113161
2832,3904,2572,1923,85324,97020
2833,824,553,385,84770,82899
2835,4529,2535,2303,105201,142162
2836,135,123,60,-,N
2837,3089,1672,1653,69620,101923
2838,3069,1893,1414,60278,93746
2839,1478,754,714,49958,63710
2840,20067,12606,10531,65317,90914
2841,1499,1432,0,-,-
2842,13053,8081,6824,65851,85538
2852,18318,11183,8928,83320,100699
2857,7702,5244,3454,82621,107198
2858,685,488,217,-,98192
2859,6066,3742,2473,76146,80652
2860,36972,21455,17926,40455,53253
2861,20587,12807,9831,55683,68483
2863,14366,7998,6310,30794,41405
2864,28195,17907,13495,81810,102165
2865,13609,8039,6199,77817,106781
2871,14273,8619,7121,91892,119289
2872,298,192,148,-,82995
2873,174,155,137,73991,85846
2874,4662,3099,2223,133655,151684
2875,441,354,207,100673,113263
2876,142,98,90,21667,20330
2878,13354,8034,6841,75716,94780
2879,17367,10285,8337,79537,100218
2881,7377,2989,1062,80208,106269
2882,12514,6524,6025,65385,101775
2885,8937,5657,4957,55689,75170
