Zip_code,,POR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
14778,"WILLIAMSPORT,PA",194805-201512,10.7,10.2,7.8,1.1,0,0,0,0,0,0.1,2.7,8,40.6
14765,"PROVIDENCE,RI",194801-201512,10.2,10.2,6.8,0.5,0.1,0,0,0,0,0.1,1,7.1,36
13782,"CHARLESTON,SC",189301-201408,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0.3
13883,"COLUMBIA,SC",194801-201512,0.6,0.7,0.2,0,0,0,0,0,0,0,0,0.2,1.7
3870,"GREENVILLE-SPARTANBURG,SC",196211-201512,2.1,1.7,0.8,0,0,0,0,0,0,0,0.1,0.5,5.2
14929,"ABERDEEN,SD",189301-201512,7.1,7.4,7.6,4.2,0.2,0,0,0,0,1,5.1,6.2,38.8
14936,"HURON,SD",189301-201512,6.9,7.2,7.5,2.9,0.1,0,0,0,0,0.8,4.6,6.2,36.2
24090,"RAPID CITY,SD",194805-201512,4.7,6.7,9.2,7.5,1.1,0.1,0,0,0.1,1.9,5.4,5.5,42.2
14944,"SIOUX FALLS,SD",193201-201512,7,8.3,8.7,2.9,0.1,0,0,0,0,0.7,5.2,7.7,40.6
13877,"BRISTOL-JHNSN CTY-KNGSPRT,TN",193710-201512,4.9,4.2,2,0.4,0,0,0,0,0,0,0.8,2.5,14.8
13882,"CHATTANOOGA,TN",193804-201512,1.6,1.2,0.7,0.1,0,0,0,0,0,0,0.1,0.4,4.1
13891,"KNOXVILLE,TN",191001-201512,3.1,2.7,1.6,0.3,0,0,0,0,0,0,0.4,1.5,9.6
13893,"MEMPHIS,TN",194001-201512,1.9,1.2,0.7,0,0,0,0,0,0,0,0.1,0.5,4.4
13897,"NASHVILLE,TN",194801-201512,3.6,2.7,1.3,0,0,0,0,0,0,0,0.4,1.1,9.1
3841,"OAK RIDGE,TN",194808-201303,2.9,2.7,1.1,0.1,0,0,0,0,0,0,0.2,1.4,8.4
13962,"ABILENE,TX",194801-201512,1.5,1.2,0.5,0.1,0,0,0,0,0,0,0.6,0.8,4.7
23047,"AMARILLO,TX",194801-201512,4.1,4,2.5,0.4,0.1,0,0,0,0,0.3,2.2,3.1,16.7
13958,"AUSTIN,TX",193806-201512,0.4,0.3,0,0,0,0,0,0,0,0,0,0,0.7
12919,"BROWNSVILLE,TX",189812-201512,0,0,0,0,0,0,0,0,0,0,0,0,0
12924,"CORPUS CHRISTI,TX",194801-201512,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1
13960,"DALLAS,TX",193908-201512,0.9,0.8,0.2,0,0,0,0,0,0,0,0.1,0.3,2.3
22010,"DEL RIO,TX",195105-201512,0.4,0.1,0.1,0,0,0,0,0,0,0,0,0,0.6
23044,"EL PASO,TX",194712-201512,1.1,0.8,0.3,0.3,0,0,0,0,0,0,1,1.9,5.4
12923,"GALVESTON,TX",194608-201512,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1
12960,"HOUSTON,TX",196906-201512,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0.3
23042,"LUBBOCK,TX",194701-201512,2.2,2.5,1.2,0.1,0,0,0,0,0,0.1,1.1,2,9.2
23023,"MIDLAND-ODESSA,TX",194802-201512,1.7,0.8,0.3,0.1,0,0,0,0,0,0,0.5,1.1,4.5
12917,"PORT ARTHUR,TX",194710-201512,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.4
23034,"SAN ANGELO,TX",190803-201512,1.3,0.5,0.1,0,0,0,0,0,0,0,0.4,0.2,2.5
12921,"SAN ANTONIO,TX",194609-201512,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0.6
